observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
276b74b4-b1e2-4556-926d-5a9d6bff737d,064bac77-0a10-4c37-9f15-54e61fc2b6d1,,5bdce59f-a3b2-4462-9484-9e52b73b1f77,2025-10-13T14:07:07+02:00,2025-10-13T14:10:37+02:00,event,unclassified,calibration,,1,,,,,,,,,,,,human,Laurens Dijkhuis,2026-02-16T08:16:03Z,0.5,,
e1dd08f4-4928-451c-8d10-e315e9577149,064bac77-0a10-4c37-9f15-54e61fc2b6d1,,c87ca26a-a3f9-4d34-b0a5-4124c8fadf75,2025-10-13T18:42:30+02:00,2025-10-13T18:42:39+02:00,event,unknown,,,,,,,,,,,,,,,human,Laurens Dijkhuis,2026-02-16T08:25:15Z,0.5,,
3a8a46c0-07af-481f-be30-684fbba9453c,064bac77-0a10-4c37-9f15-54e61fc2b6d1,,e0da16d2-40ab-4807-8f07-13a45f481c71,2025-10-13T19:44:46+02:00,2025-10-13T19:44:55+02:00,event,unknown,,,,,,,,,,,,,,,human,Laurens Dijkhuis,2026-02-16T08:25:28Z,0.5,,
951ae4af-01d0-4ffb-9228-66656bb96065,064bac77-0a10-4c37-9f15-54e61fc2b6d1,,951ae4af-01d0-4ffb-9228-66656bb96065,2025-10-14T00:00:00+02:00,2025-10-14T00:00:00+02:00,event,unclassified,,,,,,,,,,,,,,,,,,,,
35c331ad-0c19-4b28-9c43-1b4789c056c9,064bac77-0a10-4c37-9f15-54e61fc2b6d1,,50de23d2-c68a-451b-b4ba-4df64793e1a9,2025-10-14T03:09:46+02:00,2025-10-14T03:09:55+02:00,event,animal,,Meles meles,1,,,,,,,,,,,,human,Laurens Dijkhuis,2026-02-16T08:25:37Z,0.5,,
af06baeb-b396-4760-8da2-017cff731f13,064bac77-0a10-4c37-9f15-54e61fc2b6d1,,af06baeb-b396-4760-8da2-017cff731f13,2025-10-14T12:00:00+02:00,2025-10-14T12:00:00+02:00,event,unclassified,,,,,,,,,,,,,,,,,,,,
d2e33742-0ef8-4d18-aa61-645e98918eb1,064bac77-0a10-4c37-9f15-54e61fc2b6d1,,8b76033a-8134-4fa8-be08-fbf2da69feb5,2025-10-14T20:26:51+02:00,2025-10-14T20:27:00+02:00,event,animal,,Meles meles,1,,,,,,,,,,,,human,Laurens Dijkhuis,2026-02-25T13:31:22Z,0.5,,
efc3a0ef-4541-406a-9ae8-d229961479da,064bac77-0a10-4c37-9f15-54e61fc2b6d1,,cc1b0416-4a95-4ad3-bf5a-3afc9be2a077,2025-10-14T23:47:42+02:00,2025-10-14T23:48:41+02:00,event,animal,,Capreolus capreolus,2,,,,,,,,,,,,human,Laurens Dijkhuis,2026-02-16T08:26:10Z,0.5,,
1f048c64-92e8-4c46-ae04-cab59e1b5a09,064bac77-0a10-4c37-9f15-54e61fc2b6d1,,1f048c64-92e8-4c46-ae04-cab59e1b5a09,2025-10-15T00:00:00+02:00,2025-10-15T00:00:00+02:00,event,unclassified,,,,,,,,,,,,,,,,,,,,
180c89c3-ab19-4501-b8df-63c5e1fa6484,064bac77-0a10-4c37-9f15-54e61fc2b6d1,,180c89c3-ab19-4501-b8df-63c5e1fa6484,2025-10-15T12:00:00+02:00,2025-10-15T12:00:00+02:00,event,unclassified,,,,,,,,,,,,,,,,,,,,
