observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
59e52ad6-2775-41dc-886e-bbde8fc9657d,0104d7ae-3fd8-4128-8822-1014abf46221,,f18bac6f-db6e-41d4-b55b-00e2818a0a49,2020-06-29T10:36:00Z,2020-06-29T10:38:23Z,event,unclassified,setup,,,,,,,,,,,,,,,,,0.5,,
bb73cc94-1e03-4ea4-afbf-fb1c7600ba9e,0104d7ae-3fd8-4128-8822-1014abf46221,,bb73cc94-1e03-4ea4-afbf-fb1c7600ba9e,2020-06-29T11:00:00Z,2020-06-29T11:00:00Z,event,unclassified,,,,,,,,,,,,,,,,,,0.5,,
16747ac8-220f-4234-a46d-7fddcef5daf2,0104d7ae-3fd8-4128-8822-1014abf46221,,16747ac8-220f-4234-a46d-7fddcef5daf2,2020-06-29T23:00:00Z,2020-06-29T23:00:00Z,event,unclassified,,,,,,,,,,,,,,,,,,0.5,,
d553b11c-a0e2-419a-9133-09bc715f45a5,0104d7ae-3fd8-4128-8822-1014abf46221,,72142ae6-36e1-46fb-9897-500d92c56dac,2020-06-29T23:17:25Z,2020-06-29T23:17:31Z,event,animal,,Vulpes vulpes,1.0,,,,,,,,,,,,,Niko Boone,2020-08-04T14:27:18Z,0.5,,
83a0cb0a-e4d4-4a07-802f-3ab9eb233081,0104d7ae-3fd8-4128-8822-1014abf46221,,83a0cb0a-e4d4-4a07-802f-3ab9eb233081,2020-06-30T11:00:00Z,2020-06-30T11:00:00Z,event,unclassified,,,,,,,,,,,,,,,,,,0.5,,
371542a4-17b4-4522-a1ce-094c56f6502d,0104d7ae-3fd8-4128-8822-1014abf46221,,371542a4-17b4-4522-a1ce-094c56f6502d,2020-06-30T23:00:00Z,2020-06-30T23:00:00Z,event,unclassified,,,,,,,,,,,,,,,,,,0.5,,
7acbf511-b80c-4c3c-8fae-e086833b1460,0104d7ae-3fd8-4128-8822-1014abf46221,,7acbf511-b80c-4c3c-8fae-e086833b1460,2020-07-01T11:00:00Z,2020-07-01T11:00:00Z,event,unclassified,,,,,,,,,,,,,,,,,,0.5,,
d173ad76-eb29-48a4-9e44-7d059856be44,0104d7ae-3fd8-4128-8822-1014abf46221,,d173ad76-eb29-48a4-9e44-7d059856be44,2020-07-01T23:00:00Z,2020-07-01T23:00:00Z,event,unclassified,,,,,,,,,,,,,,,,,,0.5,,
ec3b4155-5e15-49c1-a038-1839434517d8,0104d7ae-3fd8-4128-8822-1014abf46221,,af19c199-d949-462b-90d1-3f375ddd7d17,2020-07-02T03:25:23Z,2020-07-02T03:25:46Z,event,animal,,Felis catus,1.0,,,,,,,,,,,,,Niko Boone,2020-08-04T14:27:42Z,0.5,,
112590b6-ba23-4c44-bfed-edbab8621130,0104d7ae-3fd8-4128-8822-1014abf46221,,112590b6-ba23-4c44-bfed-edbab8621130,2020-07-02T11:00:00Z,2020-07-02T11:00:00Z,event,unclassified,,,,,,,,,,,,,,,,,,0.5,,
