"ID","name","parent"
1,"introduction",".root"
2,"methods",".root"
3,"study_area","methods"
4,"sampling","methods"
5,"location","methods"
6,"effort","methods"
7,"image_processing","methods"
8,"data_processing","methods"
9,"results",".root"
10,"captures","results"
11,"abundance_trends","results"
12,"population_density","results"
13,"model_parameters","population_density"
14,"population_densities","population_density"
15,"activity_patterns","results"
16,"richness","results"
17,"co_occurrence","results"
18,"spatial_density","results"
19,"habitat_preferences","results"
20,"acknowledgements",".root"
21,"appendix",".root"
